# timestamp,T3,T4,O1,O2
1741651691.251,210414.324202,189521.588823,203176.310707,209356.126171
1741651691.251,210329.637842,189463.605369,202958.491286,208432.968553
1741651691.266,210816.775147,189731.015903,203766.063467,209447.678993
1741651691.266,211231.814606,189950.742675,204490.475169,210995.684620
1741651691.266,210995.684620,189824.476075,204156.307370,210987.673748
1741651691.266,210414.705672,189507.092959,203180.888348,209368.333214
1741651691.281,210320.864030,189445.676275,202947.428653,208423.813270
1741651691.281,210816.393677,189706.983287,203746.989963,209422.120497
1741651691.281,211226.855494,189938.154162,204480.175476,210984.621987
1741651691.281,210987.673748,189819.516963,204162.029421,210999.880791
1741651691.297,210414.705672,189499.845028,203183.177169,209385.880838
1741651691.297,210320.101090,189435.758053,202935.984550,208423.813270
1741651691.302,210827.074840,189710.035048,203740.886441,209421.739027
1741651691.302,211221.133443,189945.783563,204487.423408,210991.106979
1741651691.312,211007.891662,189836.683118,204184.154686,211029.635458
1741651691.312,210430.345946,189518.537062,203200.343323,209414.491095
1741651691.313,210320.101090,189446.439215,202937.510431,208431.824142
1741651691.313,210790.835181,189710.035048,203730.586749,209404.191403
1741651701.211,211502.276900,189347.256992,204571.728298,210545.549913
1741651701.211,211619.388217,189420.117779,204845.242353,211594.211191
1741651701.212,211139.117374,189146.985194,204027.751949,210598.192785
1741651701.212,210706.911761,188902.462866,203239.634742,208903.702644
1741651701.227,210948.382328,189031.399757,203587.916935,208890.732661
1741651701.227,211511.432182,189354.504923,204572.109768,210538.683451
1741651701.227,211646.091124,189436.902463,204867.367618,211614.047636
1741651701.227,211135.302673,189158.429297,204051.784565,210627.947452
1741651701.240,210718.355864,188905.514627,203247.264144,208924.302029
1741651701.240,210954.104380,189027.585056,203581.050473,208887.680900
1741651701.241,211513.721002,189351.453163,204565.624776,210524.569058
1741651701.241,211629.306440,189435.376583,204863.934387,211604.129414
1741651701.255,211156.664998,189166.440169,204062.847197,210647.402427
1741651701.255,210732.088787,188919.247550,203259.471187,208946.045824
1741651701.256,210947.619388,189037.503278,203581.050473,208885.773550
1741651701.256,211495.410438,189352.216103,204557.995375,210502.062323
1741651701.275,211642.276423,189445.676275,204876.904370,211610.614405
1741651701.275,211176.882913,189180.936032,204083.065112,210676.775624
1741651701.276,210727.129676,188926.495482,203268.244999,208964.737859
1741651701.276,210950.671149,189047.802971,203586.772525,208890.351191
1741651701.285,211505.328660,189365.949026,204563.335956,210503.206733
1741651701.285,211649.905825,189451.398326,204881.863481,211616.336457
1741651701.286,211154.376177,189182.843383,204091.457454,210694.323248
1741651701.286,210722.933505,188926.876952,203270.533820,208979.615192
1741651701.301,210938.845576,189036.358868,203568.843430,208875.092387
1741651701.301,211498.843669,189354.504923,204549.221563,210477.266767
1741651701.317,211640.369072,189450.253916,204886.822593,211607.944115
1741651701.317,211179.934673,189189.328374,204109.005078,210714.541163
1741651701.318,210735.522018,188929.547243,203273.967051,208995.255466
1741651701.318,210935.412345,189037.121808,203558.925208,208870.514746
1741651701.331,211487.399566,189356.412274,204535.870109,210466.204134
1741651701.331,211659.824047,189463.986839,204895.214935,211623.965858
1741651701.332,211199.771118,189200.009537,204124.263882,210745.440240
1741651701.332,210729.037026,188932.217533,203281.214982,209013.566030
1741651701.347,210929.308824,189035.214458,203557.399328,208865.555635
1741651701.347,211480.533104,189342.679351,204528.622178,210442.552989
1741651701.348,211654.483466,189442.624514,204888.348473,211605.655294
1741651701.348,211176.119972,189187.039554,204127.315643,210749.254941
1741651701.361,210731.707317,188925.732542,203283.122333,209025.391603
1741651701.361,210931.597644,189027.585056,203550.151396,208859.452114
1741651701.362,211490.069857,189343.442291,204529.385118,210434.160647
1741651701.362,211644.565243,189449.109506,204899.411106,211611.758816
1741651701.378,211200.915528,189198.865126,204147.915028,210782.824309
1741651701.378,210748.873471,188936.032234,203297.999666,209053.238919
1741651701.379,210925.112653,189031.399757,203546.336695,208858.307703
1741651701.379,211473.285173,189342.297880,204519.848366,210417.757433
1741651711.276,211286.364828,190018.262881,205205.731588,211460.315190
1741651711.276,211302.768042,190035.810505,205306.821162,212199.222755
1741651711.276,210791.598121,189737.119424,204386.333834,210964.404072
1741651711.276,210449.419450,189541.425268,203722.957347,209462.556326
1741651711.292,210772.524617,189721.860620,204240.612259,209788.331784
1741651711.292,211285.983358,190022.077581,205198.865126,211445.819326
1741651711.292,211310.397444,190045.728727,205315.976444,212204.181866
1741651711.292,210778.246668,189746.656176,204396.633526,210982.714637
1741651711.306,210463.152373,189551.724960,203730.205279,209479.341010
1741651711.306,210780.916959,189726.819732,204239.086379,209784.517083
1741651711.307,211287.127769,190021.696111,205193.524545,211434.756694
1741651711.308,211298.571871,190044.202847,205315.213504,212205.326276
1741651711.321,210793.505472,189747.800587,204404.262928,211002.551081
1741651711.321,210466.967074,189547.528789,203729.442338,209486.970412
1741651711.322,210760.317574,189715.375629,204220.394345,209763.536228
1741651711.322,211264.621033,190013.303769,205180.173092,211409.579668
1741651711.336,211303.149512,190038.099325,205317.502325,212198.078344
1741651711.336,210802.660754,189745.130296,204413.418210,211014.376654
1741651711.336,210446.749160,189542.569678,203729.060868,209491.166583
1741651711.336,210751.925232,189710.416518,204217.342584,209757.814176
1741651711.351,211270.343085,190011.014949,205180.554562,211404.620556
1741651711.351,211314.593615,190043.439907,205329.327897,212212.955678
1741651711.352,210789.309301,189749.707937,204432.110245,211039.935150
1741651711.352,210456.667382,189544.095558,203740.504971,209509.477148
1741651711.367,210756.884343,189709.272107,204217.724054,209756.288296
1741651711.367,211276.065136,190017.881410,205183.224853,211403.857616
1741651711.381,211307.345683,190057.172830,205342.679351,212231.266242
1741651711.381,210812.960446,189769.544382,204454.235510,211080.752450
1741651711.383,210465.822664,189552.869370,203746.608492,209524.354481
1741651711.383,210746.203181,189704.694466,204203.609661,209732.255680
1741651711.396,211259.661922,190003.004077,205163.388408,211366.855018
1741651711.396,211307.345683,190038.862265,205327.802017,212204.944806
1741651711.396,210812.960446,189752.378228,204446.606108,211068.163937
1741651711.396,210445.604749,189543.714088,203740.504971,209515.580669
1741651721.281,207758.147963,190411.558544,205128.674630,212177.478960
1741651721.281,205607.419593,190082.349856,203457.454164,209626.588465
