# timestamp,T3,T4,O1,O2
1741649105.768,254615.645042,221937.772692,238136.137138,235713.802065
1741649105.768,254533.247503,221932.813580,238038.862265,235690.532389
1741649105.784,254421.476766,221929.380350,237926.710059,235674.510645
1741649105.784,254436.354100,221934.720931,237952.650025,235701.595022
1741649105.784,254557.280118,221939.680042,238083.112796,235723.720287
1741649105.784,254616.789452,221936.246811,238140.333309,235712.657654
1741649115.896,254216.245857,221942.731803,238250.578166,235801.921656
1741649115.896,254128.889207,221936.628281,238149.107122,235778.270510
1741649115.896,254029.706983,221936.628281,238047.254607,235775.600219
1741649115.896,254055.646949,221942.350333,238083.112796,235794.292254
1741649125.854,253886.274229,221955.320316,238347.090098,235834.728083
1741649125.854,253792.814057,221953.794435,238242.948764,235817.943399
1741649125.855,253697.446535,221958.372076,238151.014472,235817.180459
1741649125.855,253734.449133,221970.579119,238203.657344,235853.420118
1741649125.869,253854.993682,221980.497342,238337.553346,235883.937725
1741649125.869,253895.810982,221985.456453,238376.081825,235882.793315
1741649125.870,253795.484348,221984.312043,238268.125790,235852.657178
1741649125.870,253700.498295,221988.508214,238173.139737,235858.760699
1741649125.884,253734.067663,221996.900556,238223.493789,235889.659776
1741649125.884,253854.993682,222002.622607,238358.152731,235914.455332
1741649125.899,253890.088930,222001.478197,238395.155330,235898.815059
1741649125.899,253796.628758,221998.044966,238287.580764,235879.741554
1741649125.900,253700.116825,221999.952316,238188.780011,235878.597144
1741649125.900,253734.067663,222006.818778,238236.845242,235902.248289
1741649125.915,253854.612212,222011.396419,238370.359774,235920.558854
1741649125.915,253899.625682,222011.014949,238410.795604,235914.073862
1741649125.915,253813.794912,222009.489068,238308.943089,235891.948597
1741649125.915,253717.282979,222007.200248,238208.234986,235880.885964
1741649125.929,253750.089407,222009.107598,238251.722576,235903.774170
1741649125.929,253875.974537,222015.211120,238385.618578,235931.621486
1741649125.930,253925.947119,222014.066710,238426.435877,235929.714136
1741649125.930,253831.342536,222007.200248,238318.861312,235898.052118
1741649125.945,253740.552655,222009.870539,238223.112319,235902.248289
1741649125.945,253778.699664,222018.644351,238270.796080,235931.621486
1741649125.946,253907.255084,222027.036693,238406.599433,235959.087333
1741649125.946,253951.124145,222024.366402,238447.035262,235944.209999
1741649125.960,253863.767494,222020.551701,238341.368047,235925.899435
1741649125.960,253770.307322,222022.840522,238244.474644,235927.043845
1741649125.961,253804.639630,222031.232864,238289.106645,235954.128222
1741649125.961,253925.565649,222035.810505,238420.332356,235972.438786
1741649125.975,253973.630880,222033.140214,238461.531126,235965.190854
1741649125.975,253885.892759,222026.273752,238357.389791,235940.013828
1741649125.976,253787.092006,222028.562573,238256.300217,235932.765897
1741649125.976,253818.754023,222033.521684,238297.880457,235957.561452
1741649125.989,253941.587392,222034.666094,238427.961758,235980.831128
1741649125.989,253990.034094,222032.377274,238470.304938,235973.201726
1741649125.990,253895.810982,222025.892282,238361.967432,235938.487948
1741649125.990,253797.773168,222025.129342,238256.681687,235938.106478
1741649126.004,253827.146365,222031.232864,238295.591636,235964.046444
1741649126.004,253950.361204,222035.810505,238427.198817,235986.171709
1741649136.026,253254.559760,222046.110197,238329.542474,235981.975538
1741649136.026,253373.578428,222055.265479,238462.675536,236015.163436
1741649136.026,253433.850702,222057.554300,238526.762511,236010.585795
1741649136.026,253355.267864,222054.502539,238434.446749,235983.501419
1741649136.041,253251.126529,222056.791360,238319.624252,235978.160837
1741649136.041,253262.952102,222063.657821,238339.079227,236002.956393
